date,total_cases,people_vaccinated,people_fully_vaccinated,hosp_patients,total_deaths,total_tests,stringency_index,total_cases_diff,people_fully_vaccinated_diff,hosp_patients_diff,total_deaths_diff,total_tests_diff,stringency_index_diff,total_cases_trend,total_cases_seasonal,people_vaccinated_trend,people_vaccinated_seasonal,people_fully_vaccinated_trend,people_fully_vaccinated_seasonal,hosp_patients_trend,hosp_patients_seasonal,total_deaths_trend,total_deaths_seasonal,total_tests_trend,total_tests_seasonal,stringency_index_trend,stringency_index_seasonal,total_cases_seasonal_shift_b_2m,total_cases_seasonal_shift_b_1m,total_cases_seasonal_shift_1m,total_cases_seasonal_shift_2m,total_cases_seasonal_shift_3m,people_vaccinated_seasonal_shift_b_2m,people_vaccinated_seasonal_shift_b_1m,people_vaccinated_seasonal_shift_1m,people_vaccinated_seasonal_shift_2m,people_vaccinated_seasonal_shift_3m,people_fully_vaccinated_seasonal_shift_b_2m,people_fully_vaccinated_seasonal_shift_b_1m,people_fully_vaccinated_seasonal_shift_1m,people_fully_vaccinated_seasonal_shift_2m,people_fully_vaccinated_seasonal_shift_3m,hosp_patients_seasonal_shift_b_2m,hosp_patients_seasonal_shift_b_1m,hosp_patients_seasonal_shift_1m,hosp_patients_seasonal_shift_2m,hosp_patients_seasonal_shift_3m,total_deaths_seasonal_shift_b_2m,total_deaths_seasonal_shift_b_1m,total_deaths_seasonal_shift_1m,total_deaths_seasonal_shift_2m,total_deaths_seasonal_shift_3m,total_tests_seasonal_shift_b_2m,total_tests_seasonal_shift_b_1m,total_tests_seasonal_shift_1m,total_tests_seasonal_shift_2m,total_tests_seasonal_shift_3m,stringency_index_seasonal_shift_b_2m,stringency_index_seasonal_shift_b_1m,stringency_index_seasonal_shift_1m,stringency_index_seasonal_shift_2m,stringency_index_seasonal_shift_3m
2020-05-17,43629.28571428572,0.0,0.0,1022.7142857142857,5606.285714285715,286356.28571428574,71.3,-675.5714285714203,0.0,-217.14285714285722,-184.57142857142753,2125.714285714348,-7.400000000000006,43315.857142857145,172.99682415679513,0.0,12130.207140997163,0.0,3475.5846186756526,1054.2857142857142,-1.3248518105158773,5512.553571428572,-25.079221230158502,286463.8392857143,14548.774226190419,74.075,0.47951525297619246,172.99682415679513,172.99682415679513,172.99682415679513,172.99682415679513,,12130.207140997163,12130.207140997163,12130.207140997163,12130.207140997163,,3475.5846186756526,3475.5846186756526,3475.5846186756526,3475.5846186756526,,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,,-25.079221230158502,-25.079221230158502,-25.079221230158502,-25.079221230158502,,14548.774226190419,14548.774226190419,14548.774226190419,14548.774226190419,,0.47951525297619246,0.47951525297619246,0.47951525297619246,0.47951525297619246,
2020-05-24,44875.28571428572,0.0,0.0,868.4285714285714,5783.714285714285,316842.71428571426,71.3,-462.7142857142899,0.0,-154.28571428571422,-130.71428571428714,-623.0000000000873,0.0,44800.696428571435,848.7088082836938,0.0,10476.184045758813,0.0,-1308.6190718006342,853.6428571428571,74.72558469742053,5740.482142857143,-33.35211805555607,319439.7142857143,-4428.556011904857,71.1825,1.0489081101190454,848.7088082836938,848.7088082836938,848.7088082836938,848.7088082836938,,10476.184045758813,10476.184045758813,10476.184045758813,10476.184045758813,,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,,74.72558469742053,74.72558469742053,74.72558469742053,74.72558469742053,,-33.35211805555607,-33.35211805555607,-33.35211805555607,-33.35211805555607,,-4428.556011904857,-4428.556011904857,-4428.556011904857,-4428.556011904857,,1.0489081101190454,1.0489081101190454,1.0489081101190454,1.0489081101190454,
2020-05-31,46140.28571428572,0.0,0.0,660.4285714285714,5918.714285714285,348555.85714285716,71.3,19.0,0.0,-208.0,-42.42857142857065,1226.7142857143772,0.0,46065.5,-369.0834089782228,0.0,-17793.667375372173,0.0,-4775.862070312563,671.2500000000001,-29.187785838293642,5886.232142857142,37.98258432539644,358643.53571428574,-19421.186488095278,68.1725,-0.9078909970238108,-369.0834089782228,-369.0834089782228,-369.0834089782228,-369.0834089782228,-369.0834089782228,-17793.667375372173,-17793.667375372173,-17793.667375372173,-17793.667375372173,-17793.667375372173,-4775.862070312563,-4775.862070312563,-4775.862070312563,-4775.862070312563,-4775.862070312563,-29.187785838293642,-29.187785838293642,-29.187785838293642,-29.187785838293642,-29.187785838293642,37.98258432539644,37.98258432539644,37.98258432539644,37.98258432539644,37.98258432539644,-19421.186488095278,-19421.186488095278,-19421.186488095278,-19421.186488095278,-19421.186488095278,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108
2020-06-07,47195.28571428572,0.0,0.0,486.14285714285717,6008.285714285715,396761.14285714284,62.959999999999994,-210.0,0.0,-174.28571428571428,-45.42857142857065,16492.142857142782,-8.340000000000003,47249.66071428572,-652.6222234622661,0.0,-4812.723811383804,0.0,2608.8965234375446,506.4285714285714,-44.21294704861099,5982.392857142857,20.448754960318126,405959.98214285716,9300.968273809716,65.62499999999999,-0.6205323660714267,-652.6222234622661,-652.6222234622661,-652.6222234622661,-652.6222234622661,-652.6222234622661,-4812.723811383804,-4812.723811383804,-4812.723811383804,-4812.723811383804,-4812.723811383804,2608.8965234375446,2608.8965234375446,2608.8965234375446,2608.8965234375446,2608.8965234375446,-44.21294704861099,-44.21294704861099,-44.21294704861099,-44.21294704861099,-44.21294704861099,20.448754960318126,20.448754960318126,20.448754960318126,20.448754960318126,20.448754960318126,9300.968273809716,9300.968273809716,9300.968273809716,9300.968273809716,9300.968273809716,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267
2020-06-14,48473.0,0.0,0.0,317.2857142857143,6062.142857142857,458472.5714285714,62.959999999999994,222.7142857142826,0.0,-168.8571428571429,-35.71428571428714,13506.142857142899,0.0,48324.75000000001,172.99682415679513,0.0,12130.207140997163,0.0,3475.5846186756526,370.94642857142856,-1.3248518105158773,6046.517857142858,-25.079221230158502,461692.21428571426,14548.774226190419,62.614999999999995,0.47951525297619246,172.99682415679513,172.99682415679513,172.99682415679513,172.99682415679513,172.99682415679513,12130.207140997163,12130.207140997163,12130.207140997163,12130.207140997163,12130.207140997163,3475.5846186756526,3475.5846186756526,3475.5846186756526,3475.5846186756526,3475.5846186756526,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-25.079221230158502,-25.079221230158502,-25.079221230158502,-25.079221230158502,-25.079221230158502,14548.774226190419,14548.774226190419,14548.774226190419,14548.774226190419,14548.774226190419,0.47951525297619246,0.47951525297619246,0.47951525297619246,0.47951525297619246,0.47951525297619246
2020-06-21,49504.857142857145,0.0,0.0,255.28571428571428,6097.142857142857,523258.0,59.26,-245.85714285713766,0.0,-62.0,-18.857142857142208,3074.0,-3.6999999999999957,49249.89285714286,848.7088082836938,0.0,10476.184045758813,0.0,-1308.6190718006342,266.64285714285717,74.72558469742053,6087.553571428572,-33.35211805555607,523938.83928571426,-4428.556011904857,58.910892857142855,1.0489081101190454,848.7088082836938,848.7088082836938,848.7088082836938,848.7088082836938,848.7088082836938,10476.184045758813,10476.184045758813,10476.184045758813,10476.184045758813,10476.184045758813,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,74.72558469742053,74.72558469742053,74.72558469742053,74.72558469742053,74.72558469742053,-33.35211805555607,-33.35211805555607,-33.35211805555607,-33.35211805555607,-33.35211805555607,-4428.556011904857,-4428.556011904857,-4428.556011904857,-4428.556011904857,-4428.556011904857,1.0489081101190454,1.0489081101190454,1.0489081101190454,1.0489081101190454,1.0489081101190454
2020-06-28,50111.42857142857,0.0,0.0,189.71428571428572,6118.285714285715,587998.4285714285,59.26,-425.2857142857174,0.0,-65.57142857142856,-13.857142857142208,-45.00000000005821,0.0,49997.67857142857,-369.0834089782228,0.0,-17793.667375372173,0.0,-4775.862070312563,191.03571428571428,-29.187785838293642,6115.071428571428,37.98258432539644,590254.1249999999,-19421.186488095278,53.81803571428571,-0.9078909970238108,-369.0834089782228,-369.0834089782228,-369.0834089782228,-369.0834089782228,-369.0834089782228,-17793.667375372173,-17793.667375372173,-17793.667375372173,-17793.667375372173,-17793.667375372173,-4775.862070312563,-4775.862070312563,-4775.862070312563,-4775.862070312563,-4775.862070312563,-29.187785838293642,-29.187785838293642,-29.187785838293642,-29.187785838293642,-29.187785838293642,37.98258432539644,37.98258432539644,37.98258432539644,37.98258432539644,37.98258432539644,-19421.186488095278,-19421.186488095278,-19421.186488095278,-19421.186488095278,-19421.186488095278,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108
2020-07-05,50625.28571428572,0.0,0.0,122.42857142857143,6137.0,655291.5714285715,45.36714285714286,-92.7142857142826,0.0,-67.28571428571429,-2.428571428572468,2552.7142857144354,-13.892857142857139,50577.875,-652.6222234622661,0.0,-4812.723811383804,0.0,2608.8965234375446,139.28571428571428,-44.21294704861099,6133.785714285715,20.448754960318126,660815.6785714286,9300.968273809716,48.49303571428572,-0.6205323660714267,-652.6222234622661,-652.6222234622661,-652.6222234622661,-652.6222234622661,-652.6222234622661,-4812.723811383804,-4812.723811383804,-4812.723811383804,-4812.723811383804,-4812.723811383804,2608.8965234375446,2608.8965234375446,2608.8965234375446,2608.8965234375446,2608.8965234375446,-44.21294704861099,-44.21294704861099,-44.21294704861099,-44.21294704861099,-44.21294704861099,20.448754960318126,20.448754960318126,20.448754960318126,20.448754960318126,20.448754960318126,9300.968273809716,9300.968273809716,9300.968273809716,9300.968273809716,9300.968273809716,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267
2020-07-12,51025.28571428572,0.0,0.0,76.14285714285714,6153.571428571428,730464.4285714285,39.81,-113.85714285714494,0.0,-46.28571428571429,-2.142857142856883,7879.714285714086,-5.557142857142857,51158.375,172.99682415679513,0.0,12130.207140997163,0.0,3475.5846186756526,104.30357142857143,-1.3248518105158773,6146.303571428572,-25.079221230158502,738782.6428571428,14548.774226190419,43.63053571428572,0.47951525297619246,172.99682415679513,172.99682415679513,172.99682415679513,172.99682415679513,172.99682415679513,12130.207140997163,12130.207140997163,12130.207140997163,12130.207140997163,12130.207140997163,3475.5846186756526,3475.5846186756526,3475.5846186756526,3475.5846186756526,3475.5846186756526,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-25.079221230158502,-25.079221230158502,-25.079221230158502,-25.079221230158502,-25.079221230158502,14548.774226190419,14548.774226190419,14548.774226190419,14548.774226190419,14548.774226190419,0.47951525297619246,0.47951525297619246,0.47951525297619246,0.47951525297619246,0.47951525297619246
2020-07-19,51594.142857142855,0.0,0.0,82.42857142857143,6155.428571428572,815758.5714285715,39.81,168.85714285713766,0.0,6.285714285714292,-14.714285714285325,10121.285714285914,0.0,51939.44642857143,848.7088082836938,0.0,10476.184045758813,0.0,-1308.6190718006342,84.30357142857143,74.72558469742053,6155.089285714285,-33.35211805555607,827989.0,-4428.556011904857,40.50464285714286,1.0489081101190454,848.7088082836938,848.7088082836938,848.7088082836938,848.7088082836938,848.7088082836938,10476.184045758813,10476.184045758813,10476.184045758813,10476.184045758813,10476.184045758813,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,74.72558469742053,74.72558469742053,74.72558469742053,74.72558469742053,74.72558469742053,-33.35211805555607,-33.35211805555607,-33.35211805555607,-33.35211805555607,-33.35211805555607,-4428.556011904857,-4428.556011904857,-4428.556011904857,-4428.556011904857,-4428.556011904857,1.0489081101190454,1.0489081101190454,1.0489081101190454,1.0489081101190454,1.0489081101190454
2020-07-26,52666.142857142855,0.0,0.0,82.71428571428571,6160.142857142857,919233.5714285715,39.81,503.14285714286234,0.0,0.2857142857142776,2.8571428571422075,18180.857142857043,0.0,53210.05357142857,-369.0834089782228,0.0,-17793.667375372173,0.0,-4775.862070312563,78.44642857142858,-29.187785838293642,6161.142857142857,37.98258432539644,929165.875,-19421.186488095278,39.81,-0.9078909970238108,-369.0834089782228,-369.0834089782228,-369.0834089782228,-369.0834089782228,-369.0834089782228,-17793.667375372173,-17793.667375372173,-17793.667375372173,-17793.667375372173,-17793.667375372173,-4775.862070312563,-4775.862070312563,-4775.862070312563,-4775.862070312563,-4775.862070312563,-29.187785838293642,-29.187785838293642,-29.187785838293642,-29.187785838293642,-29.187785838293642,37.98258432539644,37.98258432539644,37.98258432539644,37.98258432539644,37.98258432539644,-19421.186488095278,-19421.186488095278,-19421.186488095278,-19421.186488095278,-19421.186488095278,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108
2020-08-02,54319.142857142855,0.0,0.0,69.42857142857143,6165.428571428572,1037707.2857142857,39.81,581.0,0.0,-13.285714285714278,0.571428571429351,14998.714285714203,0.0,55356.39285714286,-652.6222234622661,0.0,-4812.723811383804,0.0,2608.8965234375446,83.30357142857142,-44.21294704861099,6167.125,20.448754960318126,1040247.4642857143,9300.968273809716,39.81,-0.6205323660714267,-652.6222234622661,-652.6222234622661,-652.6222234622661,-652.6222234622661,-652.6222234622661,-4812.723811383804,-4812.723811383804,-4812.723811383804,-4812.723811383804,-4812.723811383804,2608.8965234375446,2608.8965234375446,2608.8965234375446,2608.8965234375446,2608.8965234375446,-44.21294704861099,-44.21294704861099,-44.21294704861099,-44.21294704861099,-44.21294704861099,20.448754960318126,20.448754960318126,20.448754960318126,20.448754960318126,20.448754960318126,9300.968273809716,9300.968273809716,9300.968273809716,9300.968273809716,9300.968273809716,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267
2020-08-09,57496.28571428572,0.0,0.0,82.28571428571429,6173.571428571428,1157463.7142857143,39.81,1524.1428571428623,0.0,12.857142857142861,2.8571428571422075,1282.7142857144354,0.0,58461.982142857145,172.99682415679513,0.0,12130.207140997163,0.0,3475.5846186756526,93.32142857142856,-1.3248518105158773,6177.0,-25.079221230158502,1160757.1964285714,14548.774226190419,41.001428571428576,0.47951525297619246,172.99682415679513,172.99682415679513,172.99682415679513,172.99682415679513,172.99682415679513,12130.207140997163,12130.207140997163,12130.207140997163,12130.207140997163,12130.207140997163,3475.5846186756526,3475.5846186756526,3475.5846186756526,3475.5846186756526,3475.5846186756526,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-1.3248518105158773,-25.079221230158502,-25.079221230158502,-25.079221230158502,-25.079221230158502,-25.079221230158502,14548.774226190419,14548.774226190419,14548.774226190419,14548.774226190419,14548.774226190419,0.47951525297619246,0.47951525297619246,0.47951525297619246,0.47951525297619246,0.47951525297619246
2020-08-16,62293.857142857145,0.0,0.0,115.14285714285714,6183.285714285715,1277412.0,39.81,1620.4285714285652,0.0,32.85714285714285,1.571428571429351,191.85714285704307,0.0,62308.732142857145,848.7088082836938,0.0,10476.184045758813,0.0,-1308.6190718006342,104.10714285714286,74.72558469742053,6193.0,-33.35211805555607,1293427.0535714286,-4428.556011904857,43.582857142857144,1.0489081101190454,848.7088082836938,848.7088082836938,848.7088082836938,848.7088082836938,848.7088082836938,10476.184045758813,10476.184045758813,10476.184045758813,10476.184045758813,10476.184045758813,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,-1308.6190718006342,74.72558469742053,74.72558469742053,74.72558469742053,74.72558469742053,74.72558469742053,-33.35211805555607,-33.35211805555607,-33.35211805555607,-33.35211805555607,-33.35211805555607,-4428.556011904857,-4428.556011904857,-4428.556011904857,-4428.556011904857,-4428.556011904857,1.0489081101190454,1.0489081101190454,1.0489081101190454,1.0489081101190454,1.0489081101190454
2020-08-23,66811.14285714286,0.0,0.0,130.14285714285714,6211.285714285715,1421658.0,49.34142857142858,-280.2857142857174,0.0,15.0,18.285714285713766,24297.71428571432,9.531428571428577,66628.66071428571,-369.0834089782228,0.0,-17793.667375372173,0.0,-4775.862070312563,110.66071428571429,-29.187785838293642,6214.285714285715,37.98258432539644,1441307.9821428573,-19421.186488095278,46.362857142857145,-0.9078909970238108,-369.0834089782228,-369.0834089782228,-369.0834089782228,-369.0834089782228,-369.0834089782228,-17793.667375372173,-17793.667375372173,-17793.667375372173,-17793.667375372173,-17793.667375372173,-4775.862070312563,-4775.862070312563,-4775.862070312563,-4775.862070312563,-4775.862070312563,-29.187785838293642,-29.187785838293642,-29.187785838293642,-29.187785838293642,-29.187785838293642,37.98258432539644,37.98258432539644,37.98258432539644,37.98258432539644,37.98258432539644,-19421.186488095278,-19421.186488095278,-19421.186488095278,-19421.186488095278,-19421.186488095278,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108,-0.9078909970238108
2020-08-30,70948.14285714286,0.0,0.0,108.28571428571429,6242.285714285715,1596641.7142857143,50.93,-380.2857142857101,0.0,-21.857142857142847,3.0,30737.71428571432,1.58857142857142,71360.91071428571,-652.6222234622661,0.0,-4812.723811383804,0.0,2608.8965234375446,114.03571428571429,-44.21294704861099,6238.696428571428,20.448754960318126,1606377.9642857143,9300.968273809716,49.142857142857146,-0.6205323660714267,-652.6222234622661,-652.6222234622661,-652.6222234622661,-652.6222234622661,-652.6222234622661,-4812.723811383804,-4812.723811383804,-4812.723811383804,-4812.723811383804,-4812.723811383804,2608.8965234375446,2608.8965234375446,2608.8965234375446,2608.8965234375446,2608.8965234375446,-44.21294704861099,-44.21294704861099,-44.21294704861099,-44.21294704861099,-44.21294704861099,20.448754960318126,20.448754960318126,20.448754960318126,20.448754960318126,20.448754960318126,9300.968273809716,9300.968273809716,9300.968273809716,9300.968273809716,9300.968273809716,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267,-0.6205323660714267
